State,x,y
Andhra Pradesh,-93.0,-208.0
Arunachal Pradesh,276.0,134.0
Assam,235.0,75.0
Bihar,68.0,61.0
Chhattisgarh,-25.0,-48.0
Goa,-207.0,-200.0
Gujarat,-269.0,-3.0
Haryana,-155.0,151.0
Himachal Pradesh,-132.0,219.0
Jharkhand,50.0,4.0
Karnataka,-170.0,-220.0
Kerala,-157.0,-320.0
Madhya Pradesh,-117.0,-0.0
Maharashtra,-172.0,-101.0
Manipur,252.0,38.0
Meghalaya,196.0,52.0
Mizoram,231.0,-4.0
Nagaland,274.0,69.0
Odisha,26.0,-76.0
Punjab,-177.0,196.0
Rajasthan,-225.0,84.0
Sikkim,130.0,112.0
Tamil Nadu,-98.0,-306.0
Telangana,-80.0,-141.0
Tripura,198.0,8.0
Uttar Pradesh,-60.0,105.0
Uttarakhand,-89.0,181.0
West Bengal,107.0,-8.0

